gsm,title,characteristics,cell_line,treatment,cell_line_matched,norm_key,Sample,Molecular Subtype,GI50
GSM1160746,OVCA420+(2),"['cell line: OVCA420', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 1']",OVCA420,cisplatin,OVCA420,OVCA420,OVCA 420,Stem-B,4.307e-05
GSM1160747,OVCA420+(3),"['cell line: OVCA420', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 1']",OVCA420,cisplatin,OVCA420,OVCA420,OVCA 420,Stem-B,4.307e-05
GSM1160748,OVCA429-(1),"['cell line: OVCA429', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",OVCA429,control,OVCA429,OVCA429,OVCA 429,Epi-A,8.354e-05
GSM1160749,OVCA429-(2),"['cell line: OVCA429', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",OVCA429,control,OVCA429,OVCA429,OVCA 429,Epi-A,8.354e-05
GSM1160750,OVCA429-(3),"['cell line: OVCA429', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",OVCA429,control,OVCA429,OVCA429,OVCA 429,Epi-A,8.354e-05
GSM1160751,OVCA429+(1),"['cell line: OVCA429', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 1']",OVCA429,cisplatin,OVCA429,OVCA429,OVCA 429,Epi-A,8.354e-05
GSM1160752,OVCA429+(2),"['cell line: OVCA429', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 1']",OVCA429,cisplatin,OVCA429,OVCA429,OVCA 429,Epi-A,8.354e-05
GSM1160753,OVCA429+(3),"['cell line: OVCA429', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 1']",OVCA429,cisplatin,OVCA429,OVCA429,OVCA 429,Epi-A,8.354e-05
GSM1160754,PA-1-(1),"['cell line: PA-1', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",PA-1,control,PA-1,PA1,PA-1,Stem-A,3.01e-06
GSM1160755,PA-1-(2),"['cell line: PA-1', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",PA-1,control,PA-1,PA1,PA-1,Stem-A,3.01e-06
GSM1160756,PA-1-(3),"['cell line: PA-1', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",PA-1,control,PA-1,PA1,PA-1,Stem-A,3.01e-06
GSM1160757,PA-1+(1),"['cell line: PA-1', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 1']",PA-1,cisplatin,PA-1,PA1,PA-1,Stem-A,3.01e-06
GSM1160758,PA-1+(2),"['cell line: PA-1', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 1']",PA-1,cisplatin,PA-1,PA1,PA-1,Stem-A,3.01e-06
GSM1160759,PA-1+(3),"['cell line: PA-1', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 1']",PA-1,cisplatin,PA-1,PA1,PA-1,Stem-A,3.01e-06
GSM1160760,TYK-nu-(1),"['cell line: TYK-nu', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",TYK-nu,control,TYK-nu,TYKNU,TYK-nu,Mes,1.471e-05
GSM1160761,TYK-nu-(2),"['cell line: TYK-nu', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",TYK-nu,control,TYK-nu,TYKNU,TYK-nu,Mes,1.471e-05
GSM1160762,TYK-nu-(3),"['cell line: TYK-nu', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",TYK-nu,control,TYK-nu,TYKNU,TYK-nu,Mes,1.471e-05
GSM1160763,TYK-nu+(1),"['cell line: TYK-nu', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 1']",TYK-nu,cisplatin,TYK-nu,TYKNU,TYK-nu,Mes,1.471e-05
GSM1160764,TYK-nu+(2),"['cell line: TYK-nu', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 1']",TYK-nu,cisplatin,TYK-nu,TYKNU,TYK-nu,Mes,1.471e-05
GSM1160765,TYK-nu+(3),"['cell line: TYK-nu', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 1']",TYK-nu,cisplatin,TYK-nu,TYKNU,TYK-nu,Mes,1.471e-05
